[0509/210557:INFO:CONSOLE(0)] "XMLHttpRequest cannot load https://i1.jandi.com/inner-api/teams/11840269/rooms/11936533. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'https://se04.jandi.com' is therefore not allowed access. The response had HTTP status code 504.", source: https://se04.jandi.com/app/#/channels/11936533 (0)
[0509/210817:INFO:CONSOLE(11)] "Uncaught TypeError: undefined is not a function", source: https://se04.jandi.com/app/app/5e8e8220.app.js (11)
[0509/210819:INFO:CONSOLE(11)] "Uncaught TypeError: undefined is not a function", source: https://se04.jandi.com/app/app/5e8e8220.app.js (11)
[0509/210820:INFO:CONSOLE(11)] "Uncaught TypeError: undefined is not a function", source: https://se04.jandi.com/app/app/5e8e8220.app.js (11)
[0509/210822:INFO:CONSOLE(11)] "Uncaught TypeError: undefined is not a function", source: https://se04.jandi.com/app/app/5e8e8220.app.js (11)
[0509/210822:INFO:CONSOLE(11)] "Uncaught TypeError: undefined is not a function", source: https://se04.jandi.com/app/app/5e8e8220.app.js (11)
[0510/000548:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0510/000549:WARNING:dns_config_service_win.cc(654)] Failed to read DnsConfig.
[0510/000558:INFO:CONSOLE(5310)] "WebSocket connection to 'wss://ws.jandi.com/socket.io/?EIO=3&transport=websocket' failed: Error in connection establishment: net::ERR_NETWORK_CHANGED", source: https://se04.jandi.com/app/bower_components/socket.io-client/socket.io.js (5310)
[0510/000609:INFO:CONSOLE(5310)] "WebSocket connection to 'wss://ws.jandi.com/socket.io/?EIO=3&transport=websocket' failed: Error in connection establishment: net::ERR_CONNECTION_CLOSED", source: https://se04.jandi.com/app/bower_components/socket.io-client/socket.io.js (5310)
[0510/000615:INFO:CONSOLE(5310)] "WebSocket connection to 'wss://ws.jandi.com/socket.io/?EIO=3&transport=websocket' failed: Error in connection establishment: net::ERR_NETWORK_CHANGED", source: https://se04.jandi.com/app/bower_components/socket.io-client/socket.io.js (5310)
[0510/000621:INFO:CONSOLE(5310)] "WebSocket connection to 'wss://ws.jandi.com/socket.io/?EIO=3&transport=websocket' failed: Error in connection establishment: net::ERR_NETWORK_CHANGED", source: https://se04.jandi.com/app/bower_components/socket.io-client/socket.io.js (5310)
[0510/030009:WARNING:message_in_transit_queue.cc(18)] Destroying nonempty message queue
[0510/030009:WARNING:message_in_transit_queue.cc(18)] Destroying nonempty message queue
[0510/030009:WARNING:message_in_transit_queue.cc(18)] Destroying nonempty message queue
